name,categories,lat,lng,id,venue_id
Ontario Place Cinesphere IMAX,Movie Theater,43.62781730947472,-79.41802296677335,4d544f6c16a6b60c4f5c3ef8,
Ontario Place,Theme Park,43.6305773828155,-79.41535949707031,4c10206ae7d295216fbcd7b0,
Waterfall Stage,Music Venue,43.62849617361985,-79.4203269481659,4dff4b7b62e1651eb9da6cf1,
The Ghost of Exhibition Stadium,Stadium,43.63175773809329,-79.41677570343018,4bac5037f964a520edef3ae3,
Echo Beach at Molson Canadian Amphitheatre,Music Venue,43.6293322,-79.4150723,57ac2e6e498ee8e345a5e96e,
Wilderness Adventure,Theme Park,43.628525,-79.421142,4c7d5202d598a0939284c262,
Budweiser Stage,Music Venue,43.62937416266165,-79.41356370427404,4ad4c062f964a520c1f720e3,39508070
Tilt-A-Whirl,Theme Park,43.629404,-79.412718,4e066a9f483b98d4170a5d72,
CNE Casino,Casino,43.63195963864799,-79.41988706588745,4c577cbfd12a20a1f4ff66bd,
Cirque Du Soleil - Alegria,Circus,43.627986,-79.413319,5d79910956ae390008b850cd,
Niagara Falls @ CNE,Theme Park Ride / Attraction,43.632377,-79.417188,53fcf368498ec930338b556b,
Echo Beach,Music Venue,43.62940853320578,-79.41358851857584,4de94b3cd4c0faa56445dbee,
Argos Club Section 123,Football Stadium,43.632645,-79.41868,5d0e893da4e3110023ecf5b1,
BMO Field,Soccer Stadium,43.633186558203185,-79.41857814788818,4ad4c062f964a520f3f720e3,33431411
Wizard World Fun Park,Theme Park Ride / Attraction,43.632142644914715,-79.42095609938939,5137ba8de4b04e24b44a36b3,
Section 122,Soccer Stadium,43.632964,-79.419023,5019c235e4b02cb410ac07bd,
Atlantis Night Club,Performing Arts Venue,43.6304975,-79.4142223,553c95d6498e347f1fa9d289,
Fire Ball @ CNE,Theme Park Ride / Attraction,43.632284,-79.416586,53fcf819498e8b3759368e4a,
Section 109,Soccer Stadium,43.63312159136041,-79.41769685388513,517c0fe5e4b00db681fbc4d4,
Section 115,Soccer Stadium,43.63259559155824,-79.41821381822353,4e277a65c65ba11f4c533cba,
Red Bull Records Booth,Music Venue,43.6291174376414,-79.41518783569336,51b8fe89454a8318fc73d578,
Soak City,Water Park,43.627872,-79.41317081451186,4c7d3d2cb53db1f7ad7c9c11,
Wave Swinger @ CNE,Theme Park Ride / Attraction,43.632311,-79.416989,53fcf66d498e7e4790c9e7f2,
Bumper Boats,Theme Park,43.62796809415265,-79.41902875900269,4c7d5e0d8da18cfa8f2a9fce,
Bob's Boatyard,Theme Park,43.628582,-79.419092,4e4d5b1d7d8bdc6f335d8faf,
Atom Blaster,Theme Park,43.629124,-79.419621,4e4d3f7ac65bba8554da080d,
OP Driving School,Theme Park,43.628456,-79.419324,4e4d35fb18388d4981721ebf,
Wham Bam,General Entertainment,43.628951,-79.415357,5222819b11d2f18f8fd59da0,
4D Ontario,Movie Theater,43.62787170669783,-79.4141077032598,4c7d65ecb53db1f741fe9c11,
in/future,Exhibit,43.628501,-79.420724,57e323b5cd1069727e8bcdb6,
Cyclone Speedway,Theme Park,43.630705399464425,-79.41333818877864,4c7d7028d461a1434b287df5,
Carousel,Theme Park,43.628144,-79.415016,4e4d333daeb77d4a40e51c20,
Cuckoo Haus,General Entertainment,43.632768,-79.41704,503d57a1e4b0220279374ebb,
La Pitoune,Theme Park,43.627704052679206,-79.41531658172607,4c7d543bd461a14323d47cf5,
Eco-learning Centre,Theme Park,43.627736,-79.41479,4e4d688f52b1e05e59edec71,
Suite 23,Soccer Stadium,43.633035135942094,-79.4193023443222,4e0bc8d3ae606c2b4e17cca0,
